ID	s	d	TTL	size	genT
0	4	10	120	900	0
1	4	10	120	900	0
2	5	11	120	60	0
3	2	10	120	60	0
4	0	6	120	900	0
5	2	8	120	900	0
6	4	8	120	2400	0
7	0	6	120	900	0
8	3	9	120	900	0
9	3	11	120	60	0
10	3	9	120	60	0
11	2	10	120	900	8
12	2	10	120	900	8
13	5	9	120	60	8
14	4	10	120	900	8
15	2	10	120	60	8
16	2	8	120	900	8
17	4	8	120	60	8
18	0	6	120	2400	8
19	3	9	120	60	8
20	3	9	120	900	8
21	5	11	120	60	8
22	3	9	120	900	8
23	0	6	120	900	8
24	2	8	120	2400	18
25	0	6	120	900	18
26	3	11	120	900	18
27	3	11	120	900	18
28	2	8	120	60	18
29	0	6	120	60	18
30	0	6	120	900	18
31	5	11	120	900	18
32	5	9	120	900	18
33	4	10	120	60	18
34	3	9	120	60	18
35	5	9	120	900	27
36	3	9	120	60	27
37	5	9	120	900	27
38	5	9	120	3000	27
39	3	9	120	60	27
40	0	6	120	60	27
41	3	11	120	2400	27
42	0	6	120	900	27
43	2	10	120	900	27
44	5	9	120	2400	27
45	3	11	120	60	27
46	5	9	120	60	33
47	1	7	120	2400	33
48	1	7	120	900	33
49	3	9	120	900	33
50	2	8	120	2400	33
51	5	9	120	900	33
52	4	8	120	60	33
53	5	11	120	2400	33
54	5	9	120	900	33
55	0	6	120	2400	33
56	5	11	120	900	33
57	2	10	120	3000	33
58	5	9	120	3000	33
59	1	7	120	900	33
60	1	7	120	60	43
61	4	8	120	60	43
62	4	10	120	900	43
63	5	9	120	2400	43
64	4	8	120	900	43
65	4	10	120	900	43
66	5	11	120	60	43
67	2	10	120	60	43
68	3	9	120	900	43
69	5	9	120	60	43
70	4	10	120	3000	43
71	3	9	120	900	43
72	4	10	120	900	57
73	5	9	120	2400	57
74	1	7	120	60	57
75	5	9	120	60	57
76	2	10	120	2400	57
77	4	8	120	60	57
78	5	11	120	3000	57
79	3	9	120	900	57
80	1	7	120	2400	57
81	1	7	120	900	57
82	5	9	120	3000	57
83	1	7	120	60	57
84	5	11	120	900	57
85	2	8	120	60	57
86	3	9	120	60	57
87	3	11	120	900	70
88	0	6	120	900	70
89	3	9	120	60	70
90	5	9	120	60	70
91	3	9	120	900	70
92	5	9	120	60	70
93	3	9	120	60	70
94	3	9	120	900	70
95	5	9	120	2400	70
96	5	11	120	60	70
97	3	9	120	900	70
98	4	8	120	900	70
99	4	10	120	900	70
100	5	11	120	900	76
101	3	9	120	900	76
102	4	8	120	60	76
103	3	9	120	2400	76
104	2	8	120	900	76
105	3	11	120	60	76
106	4	10	120	60	76
107	5	9	120	2400	76
