ID	s	d	TTL	size	genT
0	4	8	120	60	0
1	2	8	120	900	0
2	5	9	120	900	0
3	0	6	120	60	0
4	5	9	120	900	0
5	2	8	120	900	0
6	2	10	120	900	0
7	2	10	120	900	0
8	4	8	120	3000	0
9	2	10	120	2400	0
10	4	8	120	3000	0
11	3	9	120	900	10
12	4	10	120	60	10
13	5	9	120	900	10
14	5	11	120	900	10
15	0	6	120	60	10
16	4	8	120	60	10
17	5	9	120	60	10
18	5	9	120	60	10
19	0	6	120	60	10
20	3	9	120	900	10
21	1	7	120	60	19
22	3	9	120	900	19
23	0	8	120	3000	19
24	0	6	120	60	19
25	2	10	120	3000	19
26	3	11	120	2400	19
27	5	11	120	2400	19
28	0	8	120	900	19
29	4	8	120	900	19
30	3	11	120	3000	19
31	0	6	120	3000	19
32	5	9	120	900	19
33	0	6	120	60	28
34	3	9	120	60	28
35	1	7	120	60	28
36	0	6	120	2400	28
37	3	11	120	60	28
38	1	7	120	2400	28
39	3	9	120	60	28
40	5	9	120	900	28
41	4	8	120	2400	28
42	0	6	120	60	28
43	5	11	120	900	28
44	3	11	120	60	28
45	5	11	120	900	28
46	1	7	120	900	28
47	5	11	120	60	42
48	2	8	120	60	42
49	4	10	120	60	42
50	5	9	120	900	42
51	5	9	120	60	42
52	5	11	120	2400	42
53	2	8	120	900	42
54	3	11	120	60	42
55	1	7	120	60	42
56	2	8	120	3000	42
57	1	7	120	60	42
58	3	11	120	60	42
59	5	9	120	2400	42
60	5	11	120	2400	42
61	5	9	120	900	42
62	5	9	120	2400	56
63	4	10	120	900	56
64	3	11	120	900	56
65	5	11	120	900	56
66	1	7	120	900	56
67	3	9	120	900	56
68	3	9	120	900	56
69	2	10	120	3000	56
70	4	8	120	60	56
71	1	7	120	60	56
72	5	11	120	60	56
73	4	10	120	900	56
74	3	11	120	900	63
75	4	10	120	900	63
76	3	11	120	60	63
77	5	9	120	2400	63
78	2	8	120	60	63
79	5	7	120	3000	63
80	3	9	120	60	63
81	0	6	120	900	63
82	3	9	120	60	63
83	3	9	120	900	63
84	5	9	120	900	63
85	5	11	120	900	63
86	1	7	120	900	63
87	0	8	120	60	63
88	0	6	120	900	63
89	3	9	120	900	68
90	0	6	120	2400	68
91	3	7	120	60	68
92	5	11	120	2400	68
93	5	11	120	60	68
94	5	11	120	900	68
95	4	10	120	900	68
96	5	9	120	2400	68
97	5	11	120	900	68
98	3	9	120	900	68
99	5	11	120	3000	83
100	4	8	120	900	83
101	0	6	120	3000	83
102	4	8	120	900	83
103	2	10	120	900	83
104	3	11	120	60	83
105	4	8	120	60	83
106	5	11	120	60	83
107	5	11	120	3000	83
108	0	6	120	900	83
109	3	11	120	3000	83
110	5	11	120	900	83
111	2	10	120	900	83
112	3	9	120	900	97
113	5	9	120	60	97
114	4	8	120	60	97
115	3	9	120	2400	97
116	5	9	120	2400	97
117	4	10	120	3000	97
118	3	11	120	900	97
119	3	9	120	60	97
120	5	11	120	60	97
121	5	11	120	900	97
122	4	8	120	60	97
123	2	8	120	60	97
124	5	11	120	3000	97
125	4	6	120	2400	107
126	4	8	120	60	107
127	4	10	120	60	107
128	5	11	120	2400	107
129	3	11	120	3000	107
130	3	11	120	3000	107
131	5	9	120	900	107
132	5	9	120	60	107
133	0	6	120	3000	107
134	4	10	120	60	107
135	1	7	120	900	107
136	4	8	120	900	116
137	5	11	120	60	116
138	3	11	120	900	116
139	3	9	120	3000	116
140	3	9	120	2400	116
141	5	9	120	3000	116
142	5	11	120	900	116
143	5	9	120	3000	116
144	4	10	120	60	116
145	2	10	120	900	116
146	5	11	120	2400	116
147	0	6	120	900	116
