ID	s	d	TTL	size	genT
0	5	9	120	900	0
1	4	10	120	60	0
2	3	9	120	60	0
3	2	8	120	60	0
4	5	9	120	2400	0
5	2	10	120	900	0
6	2	10	120	60	0
7	5	9	120	60	0
8	3	11	120	60	0
9	4	10	120	60	0
10	0	6	120	2400	0
11	2	8	120	2400	0
12	5	11	120	900	0
13	2	8	120	60	0
14	5	9	120	900	14
15	4	10	120	900	14
16	5	11	120	2400	14
17	3	11	120	60	14
18	2	8	120	60	14
19	0	6	120	3000	14
20	1	7	120	900	14
21	4	10	120	900	14
22	0	6	120	60	14
23	4	10	120	900	14
24	2	10	120	60	14
25	1	7	120	900	14
26	3	9	120	60	14
27	5	9	120	2400	20
28	2	8	120	900	20
29	4	8	120	900	20
30	2	10	120	900	20
31	4	10	120	60	20
32	3	11	120	900	20
33	3	9	120	60	20
34	2	6	120	900	20
35	3	9	120	3000	20
36	4	8	120	60	20
37	5	9	120	60	35
38	5	9	120	60	35
39	5	11	120	2400	35
40	5	11	120	900	35
41	2	10	120	60	35
42	1	7	120	900	35
43	5	9	120	60	35
44	0	6	120	900	35
45	5	11	120	900	35
46	4	10	120	900	35
47	1	7	120	60	35
48	2	10	120	900	35
49	3	9	120	60	35
50	4	10	120	2400	43
51	4	10	120	60	43
52	3	9	120	900	43
53	5	9	120	60	43
54	3	9	120	900	43
55	1	7	120	60	43
56	3	9	120	2400	43
57	2	10	120	60	43
58	5	11	120	3000	43
59	5	11	120	60	43
60	5	11	120	60	43
61	4	10	120	900	43
62	2	8	120	3000	57
63	5	9	120	900	57
64	5	11	120	3000	57
65	2	10	120	2400	57
66	3	11	120	3000	57
67	1	7	120	3000	57
68	5	11	120	2400	57
69	5	11	120	2400	57
70	0	6	120	900	57
71	0	6	120	60	57
72	4	8	120	900	57
73	0	6	120	900	67
74	5	9	120	900	67
75	2	10	120	900	67
76	2	8	120	900	67
77	3	9	120	2400	67
78	5	9	120	2400	67
79	0	6	120	3000	67
80	3	11	120	900	67
81	3	9	120	60	67
82	3	9	120	60	67
83	3	9	120	900	77
84	3	9	120	60	77
85	2	10	120	900	77
86	0	6	120	900	77
87	0	6	120	60	77
88	2	10	120	2400	77
89	2	8	120	900	77
90	2	8	120	900	77
91	3	9	120	3000	77
92	5	9	120	900	77
93	2	8	120	2400	77
94	4	8	120	3000	77
95	0	6	120	3000	77
96	5	9	120	60	77
97	4	8	120	900	82
98	4	8	120	3000	82
99	1	7	120	900	82
100	3	9	120	900	82
101	4	10	120	60	82
102	2	8	120	60	82
103	5	9	120	3000	82
104	2	8	120	900	82
105	0	6	120	900	82
106	4	8	120	60	82
107	3	9	120	900	82
108	0	6	120	2400	97
109	5	11	120	900	97
110	3	11	120	60	97
111	5	11	120	60	97
112	2	10	120	2400	97
113	3	11	120	60	97
114	5	9	120	2400	97
115	1	7	120	3000	97
116	0	6	120	2400	97
117	5	11	120	900	97
118	5	11	120	60	97
119	4	8	120	60	97
120	5	11	120	900	97
121	3	9	120	60	97
122	4	8	120	900	97
123	2	10	120	60	103
124	3	9	120	900	103
125	2	8	120	60	103
126	1	7	120	900	103
127	3	9	120	3000	103
128	0	6	120	2400	103
129	3	9	120	60	103
130	3	9	120	60	103
131	3	9	120	60	103
132	2	8	120	60	103
133	4	8	120	900	103
134	4	8	120	900	103
135	5	9	120	60	103
136	5	11	120	900	110
137	2	8	120	60	110
138	4	10	120	60	110
139	5	9	120	900	110
140	3	11	120	900	110
141	4	8	120	900	110
142	2	10	120	2400	110
143	1	7	120	900	110
144	0	6	120	900	110
145	1	7	120	60	110
146	3	9	120	60	110
147	3	11	120	3000	110
148	3	9	120	900	110
149	1	7	120	60	110
150	5	11	120	900	110
151	3	11	120	3000	121
152	5	9	120	60	121
153	3	11	120	60	121
154	1	7	120	60	121
155	4	10	120	900	121
156	1	7	120	60	121
157	4	10	120	900	121
158	1	7	120	900	121
159	2	10	120	60	121
160	4	10	120	60	121
161	5	11	120	60	121
162	4	8	120	60	121
163	3	11	120	2400	121
164	3	9	120	900	121
165	2	8	120	3000	121
166	1	7	120	900	134
167	5	7	120	900	134
168	2	10	120	900	134
169	5	9	120	900	134
170	3	7	120	900	134
171	5	11	120	900	134
172	4	8	120	900	134
173	4	10	120	900	134
174	3	7	120	900	134
175	5	9	120	60	134
176	2	8	120	900	134
177	5	9	120	900	134
178	2	10	120	60	134
179	5	11	120	60	145
180	3	11	120	3000	145
181	0	6	120	900	145
182	5	9	120	60	145
183	3	11	120	60	145
184	3	9	120	3000	145
185	4	10	120	900	145
186	3	11	120	900	145
187	0	6	120	60	145
188	3	9	120	900	145
189	3	9	120	900	145
190	0	6	120	2400	145
191	0	6	120	3000	145
192	5	11	120	900	151
193	3	9	120	3000	151
194	5	9	120	60	151
195	0	6	120	60	151
196	0	6	120	3000	151
197	3	11	120	3000	151
198	0	6	120	900	151
199	3	9	120	60	151
200	5	9	120	900	151
201	5	11	120	60	151
202	0	6	120	900	151
203	5	9	120	60	151
204	3	11	120	60	151
205	3	9	120	2400	151
206	3	9	120	60	151
207	4	8	120	2400	166
208	5	9	120	60	166
209	5	11	120	60	166
210	3	11	120	60	166
