ID	s	d	TTL	size	genT
0	5	11	120	60	0
1	5	11	120	900	0
2	3	9	120	60	0
3	3	9	120	60	0
4	2	10	120	60	0
5	2	8	120	60	0
6	5	9	120	60	0
7	0	6	120	60	0
8	5	11	120	60	0
9	5	11	120	900	0
10	0	6	120	60	0
11	5	9	120	60	0
12	3	9	120	60	0
13	1	7	120	900	14
14	3	9	120	60	14
15	3	11	120	60	14
16	0	6	120	2400	14
17	5	9	120	60	14
18	0	6	120	3000	14
19	3	9	120	2400	14
20	4	8	120	60	14
21	2	8	120	60	14
22	4	8	120	60	14
23	4	8	120	60	14
24	2	10	120	60	14
25	2	10	120	60	23
26	0	6	120	900	23
27	5	9	120	60	23
28	2	8	120	60	23
29	4	10	120	60	23
30	0	6	120	60	23
31	2	8	120	900	23
32	5	11	120	60	23
33	0	10	120	60	23
34	5	11	120	60	23
35	2	10	120	900	30
36	5	11	120	3000	30
37	4	10	120	60	30
38	3	11	120	60	30
39	5	11	120	60	30
40	3	11	120	60	30
41	0	6	120	900	30
42	0	6	120	900	30
43	1	7	120	60	30
44	2	10	120	900	30
45	1	7	120	900	30
46	4	8	120	3000	30
47	5	11	120	60	30
48	0	6	120	60	30
49	0	6	120	60	30
50	1	7	120	900	36
51	3	9	120	900	36
52	3	11	120	900	36
53	1	7	120	60	36
54	4	8	120	2400	36
55	0	6	120	900	36
56	0	6	120	900	36
57	5	9	120	900	36
58	3	11	120	3000	36
59	3	11	120	900	36
60	0	6	120	60	36
61	5	9	120	60	42
62	5	9	120	60	42
63	5	9	120	60	42
64	1	7	120	3000	42
65	5	9	120	900	42
66	5	11	120	3000	42
67	5	11	120	900	42
68	3	11	120	2400	42
69	3	9	120	900	42
70	5	9	120	900	42
71	5	11	120	60	42
72	1	7	120	60	42
73	5	9	120	60	42
74	4	10	120	60	42
75	3	11	120	900	42
76	3	11	120	60	51
77	2	10	120	900	51
78	4	8	120	900	51
79	1	7	120	60	51
80	0	6	120	900	51
81	5	9	120	60	51
82	4	8	120	60	51
83	3	9	120	900	51
84	3	9	120	900	51
85	5	9	120	3000	51
86	3	9	120	60	51
87	3	11	120	900	51
88	4	10	120	900	51
89	4	10	120	900	51
90	2	8	120	3000	51
91	2	10	120	900	63
92	3	9	120	60	63
93	5	11	120	900	63
94	3	11	120	2400	63
95	5	9	120	60	63
96	4	10	120	60	63
97	5	11	120	60	63
98	1	7	120	60	63
99	5	7	120	900	63
100	0	10	120	60	63
101	0	6	120	60	63
102	5	7	120	60	63
103	4	10	120	900	63
104	0	6	120	3000	68
105	3	11	120	900	68
106	3	11	120	60	68
107	3	9	120	3000	68
108	3	9	120	60	68
109	5	9	120	60	68
110	5	9	120	60	68
111	3	9	120	60	68
112	5	7	120	60	68
113	5	9	120	900	68
114	3	9	120	60	79
115	5	9	120	900	79
116	4	8	120	60	79
117	3	9	120	3000	79
118	0	6	120	3000	79
119	0	6	120	60	79
120	3	9	120	60	79
121	2	8	120	60	79
122	2	10	120	60	79
123	2	10	120	900	79
124	4	10	120	900	79
125	5	9	120	900	79
126	3	11	120	900	93
127	5	11	120	900	93
128	3	11	120	900	93
129	2	10	120	900	93
130	0	6	120	2400	93
131	5	9	120	60	93
132	3	11	120	3000	93
133	2	8	120	900	93
134	3	9	120	900	93
135	4	10	120	900	93
136	5	11	120	900	93
137	5	9	120	60	93
138	4	10	120	900	93
139	1	7	120	60	107
140	3	11	120	60	107
141	5	9	120	60	107
142	2	8	120	60	107
143	1	7	120	900	107
144	4	8	120	60	107
145	4	10	120	60	107
146	5	11	120	3000	107
147	1	7	120	2400	107
148	1	7	120	900	107
149	2	10	120	60	107
150	4	10	120	3000	107
151	3	9	120	60	114
152	3	11	120	60	114
153	5	9	120	60	114
154	0	6	120	900	114
155	5	9	120	60	114
156	2	8	120	900	114
157	3	9	120	3000	114
158	5	11	120	2400	114
159	5	9	120	900	114
160	0	6	120	3000	114
161	3	11	120	900	114
162	3	9	120	900	114
163	1	7	120	60	114
164	5	9	120	900	114
165	4	10	120	3000	128
166	3	9	120	60	128
167	3	11	120	60	128
168	5	11	120	900	128
169	5	9	120	900	128
170	1	7	120	60	128
171	3	11	120	900	128
172	2	10	120	3000	128
173	1	7	120	60	128
174	1	7	120	60	128
175	4	10	120	60	128
176	2	8	120	60	128
177	3	9	120	60	128
178	3	11	120	900	128
179	4	8	120	2400	138
180	4	10	120	60	138
181	3	7	120	2400	138
182	5	9	120	60	138
183	5	7	120	3000	138
184	3	9	120	900	138
185	4	10	120	2400	138
186	2	10	120	60	138
187	3	9	120	60	138
188	5	7	120	900	138
189	5	7	120	900	138
190	4	10	120	3000	138
191	3	9	120	60	138
192	5	9	120	60	152
193	0	6	120	60	152
194	5	9	120	900	152
195	3	11	120	3000	152
196	0	10	120	2400	152
197	0	8	120	60	152
198	3	11	120	60	152
199	3	11	120	60	152
200	3	9	120	60	152
201	3	9	120	60	152
202	3	11	120	900	152
203	0	10	120	900	152
204	5	9	120	900	152
205	0	6	120	900	152
206	5	9	120	3000	164
207	5	11	120	900	164
208	3	9	120	2400	164
209	3	9	120	60	164
210	0	6	120	60	164
211	3	11	120	3000	164
212	4	8	120	3000	164
213	5	11	120	2400	164
214	3	9	120	900	164
215	1	7	120	900	164
216	3	9	120	60	164
217	5	9	120	60	164
218	5	9	120	900	164
219	1	7	120	900	164
220	5	9	120	60	175
221	1	7	120	60	175
222	5	11	120	60	175
223	1	7	120	900	175
224	5	11	120	60	175
225	2	8	120	900	175
226	5	9	120	2400	175
227	4	8	120	60	175
228	1	7	120	900	175
229	2	8	120	60	175
230	3	11	120	3000	175
231	5	11	120	60	175
232	2	8	120	60	175
233	4	8	120	60	175
234	4	10	120	60	175
235	2	8	120	900	189
236	3	11	120	3000	189
237	3	9	120	3000	189
238	4	8	120	60	189
239	5	9	120	900	189
240	3	11	120	3000	189
241	2	10	120	900	189
242	3	11	120	900	189
243	4	6	120	900	189
244	1	7	120	2400	189
245	0	6	120	900	189
246	5	11	120	3000	194
247	3	9	120	60	194
248	3	9	120	3000	194
249	3	9	120	900	194
250	2	8	120	900	194
251	1	7	120	60	194
252	4	6	120	900	194
253	4	8	120	900	194
254	4	6	120	900	194
255	3	9	120	60	194
256	5	11	120	60	194
257	2	8	120	900	194
258	5	9	120	900	194
259	5	11	120	900	194
260	5	9	120	60	194
261	5	9	120	3000	201
262	1	7	120	3000	201
263	2	8	120	60	201
264	5	9	120	60	201
265	4	8	120	60	201
266	5	11	120	60	201
267	2	10	120	60	201
268	4	8	120	900	201
269	5	9	120	900	201
270	2	10	120	60	201
271	5	9	120	900	208
272	5	7	120	60	208
273	5	7	120	60	208
274	5	11	120	3000	208
275	5	9	120	900	208
276	3	9	120	60	208
277	2	10	120	900	208
278	1	7	120	60	208
279	4	10	120	60	208
280	0	6	120	900	208
281	3	9	120	60	208
282	2	8	120	60	208
283	4	10	120	60	208
284	4	10	120	60	208
285	3	7	120	900	208
286	2	10	120	3000	219
287	3	11	120	900	219
288	2	8	120	900	219
289	4	8	120	900	219
290	5	9	120	60	219
291	0	6	120	60	219
292	0	6	120	60	219
293	2	10	120	60	219
294	2	10	120	2400	219
295	3	9	120	60	219
296	5	11	120	900	219
297	0	6	120	900	219
298	5	11	120	900	219
299	5	9	120	3000	219
300	4	10	120	900	224
301	0	6	120	900	224
302	3	9	120	60	224
303	2	10	120	60	224
304	0	6	120	900	224
305	3	11	120	60	224
306	0	6	120	900	224
307	3	9	120	2400	224
308	5	9	120	3000	224
309	2	10	120	3000	224
310	2	10	120	900	224
311	5	11	120	3000	230
312	4	10	120	900	230
313	3	11	120	60	230
314	0	10	120	3000	230
315	0	6	120	60	230
316	5	11	120	2400	230
317	3	9	120	900	230
318	5	9	120	2400	230
319	0	6	120	2400	230
320	5	9	120	2400	230
