ID	s	d	TTL	size	genT
0	2	8	120	3000	0
1	0	6	120	60	0
2	0	6	120	3000	0
3	5	9	120	2400	0
4	0	6	120	900	0
5	0	6	120	60	0
6	0	6	120	900	0
7	4	10	120	3000	0
8	0	6	120	900	0
9	3	9	120	60	0
10	3	9	120	900	12
11	4	8	120	60	12
12	3	9	120	900	12
13	0	6	120	900	12
14	0	6	120	60	12
15	5	11	120	60	12
16	5	11	120	900	12
17	2	8	120	60	12
18	5	9	120	900	12
19	3	9	120	60	12
20	3	11	120	60	25
21	4	8	120	60	25
22	1	7	120	60	25
23	2	10	120	2400	25
24	2	10	120	60	25
25	5	9	120	900	25
26	0	6	120	60	25
27	5	9	120	900	25
28	5	11	120	60	25
29	3	11	120	900	25
30	4	10	120	900	35
31	5	11	120	60	35
32	1	7	120	60	35
33	4	10	120	900	35
34	3	11	120	900	35
35	0	6	120	60	35
36	1	7	120	60	35
37	3	9	120	900	35
38	5	11	120	900	35
39	4	10	120	900	35
40	2	10	120	900	35
41	5	11	120	3000	35
42	2	8	120	900	35
43	1	7	120	60	35
44	2	8	120	60	35
45	2	10	120	900	43
46	5	11	120	60	43
47	4	8	120	3000	43
48	2	8	120	2400	43
49	5	9	120	3000	43
50	4	8	120	60	43
51	2	10	120	900	43
52	5	9	120	60	43
53	2	10	120	60	43
54	5	11	120	60	43
55	4	10	120	60	43
56	4	8	120	900	52
57	2	10	120	900	52
58	4	10	120	900	52
59	5	9	120	900	52
60	0	6	120	900	52
61	3	9	120	3000	52
62	5	11	120	900	52
63	4	10	120	900	52
64	5	11	120	900	52
65	2	8	120	60	52
66	1	7	120	900	52
67	3	9	120	900	52
68	5	9	120	2400	52
69	2	10	120	3000	63
70	5	7	120	900	63
71	3	7	120	900	63
72	2	10	120	60	63
73	2	10	120	60	63
74	1	7	120	60	63
75	5	7	120	900	63
76	5	9	120	60	63
77	4	8	120	900	63
78	4	10	120	60	63
79	0	6	120	900	69
80	3	9	120	60	69
81	3	9	120	3000	69
82	5	9	120	3000	69
83	0	8	120	900	69
84	0	6	120	60	69
85	4	8	120	900	69
86	5	9	120	60	69
87	5	11	120	900	69
88	3	9	120	60	69
89	0	6	120	900	69
90	3	9	120	2400	69
91	3	9	120	900	80
92	3	9	120	900	80
93	3	11	120	60	80
94	2	8	120	2400	80
95	2	8	120	2400	80
96	3	9	120	900	80
97	0	6	120	900	80
98	2	8	120	60	80
99	2	8	120	60	80
100	5	9	120	60	80
101	3	9	120	60	80
102	3	11	120	2400	80
103	5	11	120	60	80
104	2	8	120	60	92
105	4	10	120	60	92
106	5	11	120	60	92
107	0	6	120	900	92
108	5	11	120	60	92
109	5	11	120	60	92
110	4	8	120	900	92
111	4	8	120	60	92
112	3	11	120	60	92
113	1	7	120	60	92
114	5	9	120	60	92
115	1	7	120	60	92
116	2	8	120	900	92
117	2	10	120	60	92
118	3	11	120	60	92
119	3	9	120	900	104
120	2	10	120	2400	104
121	0	6	120	900	104
122	1	7	120	3000	104
123	0	6	120	60	104
124	5	9	120	60	104
125	4	8	120	900	104
126	3	11	120	60	104
127	3	9	120	2400	104
128	4	8	120	3000	104
129	1	7	120	900	104
130	0	6	120	900	104
131	4	10	120	900	104
132	3	11	120	60	116
133	2	8	120	900	116
134	5	9	120	60	116
135	2	10	120	60	116
136	0	6	120	900	116
137	5	11	120	60	116
138	0	6	120	900	116
139	4	8	120	900	116
140	0	6	120	900	116
141	3	11	120	60	116
142	2	10	120	60	116
143	2	10	120	60	122
144	5	9	120	900	122
145	3	11	120	3000	122
146	2	8	120	2400	122
147	5	9	120	900	122
148	1	7	120	3000	122
149	4	10	120	60	122
150	2	8	120	900	122
151	1	7	120	60	122
152	1	7	120	60	122
153	3	11	120	900	122
154	2	8	120	60	122
155	2	8	120	60	137
156	4	10	120	60	137
157	3	9	120	3000	137
158	3	9	120	900	137
159	3	11	120	900	137
160	5	9	120	900	137
161	3	7	120	900	137
162	3	7	120	2400	137
163	5	9	120	2400	137
164	5	11	120	900	137
165	2	10	120	900	137
166	5	11	120	900	151
167	5	9	120	60	151
168	3	9	120	900	151
169	5	9	120	900	151
170	3	9	120	900	151
171	5	9	120	900	151
172	3	9	120	900	151
173	0	10	120	900	151
174	5	9	120	60	151
175	3	9	120	900	151
176	3	9	120	60	151
177	5	11	120	2400	151
178	5	9	120	60	151
179	5	9	120	900	151
180	3	9	120	60	151
181	1	7	120	2400	164
182	0	6	120	60	164
183	5	11	120	900	164
184	5	9	120	60	164
185	1	7	120	2400	164
186	5	11	120	900	164
187	5	11	120	60	164
188	5	9	120	60	164
189	0	6	120	60	164
190	3	11	120	900	164
191	3	11	120	3000	164
192	0	6	120	900	178
193	2	8	120	3000	178
194	3	9	120	60	178
195	4	10	120	900	178
196	1	7	120	900	178
197	3	9	120	60	178
198	5	9	120	900	178
199	2	10	120	60	178
200	4	8	120	900	178
201	3	9	120	60	178
202	5	9	120	2400	184
203	0	6	120	2400	184
204	4	8	120	900	184
205	4	8	120	2400	184
206	2	10	120	60	184
207	1	7	120	60	184
208	2	8	120	60	184
209	5	9	120	60	184
210	2	10	120	60	184
211	0	6	120	900	184
212	1	7	120	60	184
213	2	10	120	3000	184
214	4	8	120	60	184
215	4	10	120	2400	184
216	3	11	120	60	184
217	5	9	120	60	193
218	4	10	120	900	193
219	5	11	120	60	193
220	3	9	120	60	193
221	2	8	120	900	193
222	5	9	120	60	193
223	4	8	120	60	193
224	4	6	120	900	193
225	2	6	120	3000	193
226	5	11	120	60	193
227	1	7	120	60	193
228	5	11	120	2400	193
229	1	7	120	60	193
230	1	7	120	60	193
231	4	10	120	900	204
232	0	6	120	60	204
233	3	9	120	900	204
234	3	7	120	2400	204
235	3	9	120	900	204
236	1	7	120	900	204
237	2	10	120	60	204
238	4	8	120	900	204
239	4	8	120	2400	204
240	5	7	120	900	204
241	5	11	120	2400	204
242	3	7	120	900	204
243	5	7	120	2400	204
244	5	7	120	2400	204
245	2	10	120	900	215
246	2	8	120	900	215
247	3	9	120	60	215
248	4	10	120	900	215
249	0	6	120	60	215
250	2	10	120	900	215
251	0	6	120	60	215
252	3	9	120	3000	215
253	5	9	120	60	215
254	3	11	120	900	215
255	5	9	120	900	215
256	4	8	120	900	215
257	3	11	120	60	215
258	3	9	120	900	215
259	0	6	120	60	215
260	3	9	120	2400	227
261	3	11	120	60	227
262	3	9	120	900	227
263	5	9	120	900	227
264	5	11	120	60	227
265	2	10	120	60	227
266	5	9	120	900	227
267	3	9	120	3000	227
268	0	6	120	900	227
269	3	9	120	2400	227
270	0	6	120	60	227
271	3	9	120	900	227
272	5	9	120	900	227
273	4	8	120	900	227
274	3	9	120	60	227
