ID	s	d	TTL	size	genT
0	2	8	120	60	0
1	3	9	120	60	0
2	3	9	120	900	0
3	5	11	120	60	0
4	2	10	120	60	0
5	2	10	120	60	0
6	5	11	120	900	0
7	4	10	120	2400	0
8	3	9	120	2400	0
9	3	11	120	60	0
10	2	8	120	60	0
11	5	9	120	60	15
12	4	8	120	60	15
13	5	9	120	60	15
14	5	9	120	3000	15
15	3	11	120	60	15
16	4	10	120	900	15
17	2	8	120	900	15
18	4	8	120	60	15
19	4	10	120	60	15
20	3	9	120	900	15
21	1	7	120	60	23
22	4	8	120	900	23
23	3	11	120	900	23
24	0	6	120	60	23
25	2	8	120	60	23
26	4	10	120	900	23
27	4	8	120	3000	23
28	3	9	120	60	23
29	2	8	120	60	23
30	2	8	120	60	23
31	0	6	120	900	28
32	3	9	120	900	28
33	4	8	120	60	28
34	1	7	120	60	28
35	0	6	120	60	28
36	3	11	120	3000	28
37	5	11	120	3000	28
38	5	9	120	60	28
39	1	7	120	60	28
40	4	6	120	60	28
41	2	10	120	60	28
42	2	10	120	900	37
43	3	11	120	60	37
44	5	11	120	60	37
45	3	11	120	900	37
46	1	7	120	60	37
47	3	9	120	3000	37
48	4	10	120	900	37
49	1	7	120	60	37
50	5	11	120	900	37
51	0	6	120	60	37
52	4	8	120	2400	37
53	3	11	120	2400	52
54	4	8	120	60	52
55	4	10	120	900	52
56	3	9	120	60	52
57	2	8	120	2400	52
58	5	11	120	2400	52
59	5	11	120	900	52
60	4	10	120	60	52
61	5	9	120	60	52
62	5	9	120	900	52
63	0	6	120	3000	52
64	5	9	120	900	61
65	5	7	120	900	61
66	3	9	120	900	61
67	2	8	120	60	61
68	3	11	120	3000	61
69	5	9	120	3000	61
70	0	6	120	900	61
71	4	10	120	900	61
72	4	10	120	900	61
73	4	8	120	60	61
74	1	7	120	900	61
75	5	11	120	900	71
76	4	8	120	900	71
77	3	11	120	60	71
78	5	11	120	60	71
79	2	10	120	900	71
80	0	6	120	60	71
81	3	9	120	60	71
82	0	6	120	60	71
83	5	9	120	900	71
84	3	9	120	900	71
85	3	9	120	900	71
86	0	6	120	900	83
87	5	11	120	60	83
88	0	6	120	900	83
89	5	11	120	60	83
90	5	11	120	900	83
91	5	11	120	900	83
92	0	6	120	2400	83
93	5	9	120	3000	83
94	2	8	120	60	83
95	4	8	120	3000	83
96	0	6	120	900	83
97	3	9	120	3000	96
98	5	11	120	900	96
99	2	8	120	900	96
100	3	9	120	3000	96
101	2	10	120	60	96
102	4	10	120	900	96
103	5	11	120	60	96
104	2	10	120	60	96
105	2	10	120	3000	96
106	4	8	120	3000	96
107	2	10	120	900	96
108	3	11	120	2400	96
109	1	7	120	900	96
110	3	9	120	900	102
111	2	8	120	3000	102
112	0	6	120	2400	102
113	4	8	120	2400	102
114	0	6	120	900	102
115	2	8	120	60	102
116	2	8	120	900	102
117	5	11	120	900	102
118	2	8	120	900	102
119	1	7	120	900	102
120	0	6	120	900	102
121	4	10	120	2400	102
122	5	11	120	60	102
123	5	11	120	3000	108
124	4	8	120	60	108
125	3	11	120	900	108
126	2	8	120	60	108
127	0	6	120	60	108
128	4	10	120	60	108
129	2	10	120	60	108
130	1	7	120	900	108
131	0	6	120	60	108
132	4	8	120	900	108
133	5	9	120	60	108
134	5	9	120	2400	108
135	0	6	120	900	108
136	2	10	120	900	108
137	3	11	120	60	113
138	5	11	120	900	113
139	5	11	120	900	113
140	0	6	120	3000	113
141	3	9	120	900	113
142	4	10	120	60	113
143	2	10	120	60	113
144	1	7	120	900	113
145	5	9	120	900	113
146	1	7	120	900	113
147	1	7	120	2400	113
148	1	7	120	2400	113
149	5	11	120	60	125
150	5	9	120	60	125
151	5	9	120	3000	125
152	5	9	120	60	125
153	5	9	120	60	125
154	3	9	120	60	125
155	2	8	120	60	125
156	5	9	120	60	125
157	1	7	120	900	125
158	5	11	120	2400	125
159	5	9	120	60	125
160	4	10	120	900	125
161	3	9	120	900	125
162	2	10	120	3000	136
163	4	8	120	900	136
164	3	9	120	900	136
165	5	11	120	900	136
166	3	9	120	60	136
167	5	9	120	900	136
168	3	9	120	900	136
169	2	8	120	60	136
170	4	8	120	60	136
171	5	11	120	2400	136
172	3	11	120	900	136
173	1	7	120	60	136
174	3	9	120	900	136
175	3	9	120	60	136
176	0	6	120	900	143
177	3	11	120	60	143
178	2	10	120	60	143
179	5	11	120	60	143
180	3	9	120	60	143
181	5	11	120	60	143
182	3	9	120	900	143
183	3	11	120	3000	143
184	3	11	120	60	143
185	4	10	120	60	143
186	0	6	120	3000	143
187	5	9	120	2400	154
188	3	9	120	900	154
189	5	9	120	900	154
190	5	9	120	60	154
191	0	6	120	900	154
192	0	6	120	3000	154
193	5	11	120	900	154
194	0	6	120	900	154
195	3	11	120	900	154
196	3	9	120	60	154
197	0	6	120	60	154
198	0	6	120	60	166
199	3	11	120	900	166
200	2	8	120	2400	166
201	2	10	120	3000	166
202	5	9	120	60	166
203	2	10	120	60	166
204	4	8	120	60	166
205	4	8	120	900	166
206	0	6	120	900	166
207	3	9	120	60	166
208	3	11	120	900	166
209	1	7	120	2400	175
210	5	9	120	900	175
211	5	9	120	3000	175
212	2	8	120	900	175
213	5	11	120	900	175
214	4	8	120	900	175
215	5	11	120	60	175
216	1	7	120	60	175
217	4	10	120	900	175
218	3	11	120	900	175
219	3	9	120	900	175
220	5	9	120	900	186
221	3	9	120	900	186
222	3	11	120	60	186
223	3	9	120	60	186
224	5	9	120	60	186
225	5	9	120	900	186
226	0	6	120	60	186
227	3	11	120	3000	186
228	3	9	120	60	186
229	5	9	120	900	186
230	1	7	120	900	186
231	1	7	120	900	186
232	3	9	120	900	196
233	3	9	120	3000	196
234	3	9	120	900	196
235	5	11	120	900	196
236	5	9	120	60	196
237	5	11	120	60	196
238	2	10	120	900	196
239	4	10	120	60	196
240	3	11	120	60	196
241	5	11	120	900	196
242	1	11	120	900	196
243	3	9	120	3000	196
244	1	7	120	900	196
245	2	10	120	3000	196
246	5	11	120	900	202
247	5	11	120	2400	202
248	3	9	120	900	202
249	3	11	120	2400	202
250	5	9	120	60	202
251	2	10	120	3000	202
252	1	7	120	60	202
253	4	8	120	900	202
254	3	9	120	2400	202
255	4	10	120	2400	202
256	2	8	120	2400	211
257	4	10	120	60	211
258	5	11	120	60	211
259	3	11	120	900	211
260	4	8	120	900	211
261	2	8	120	900	211
262	5	9	120	60	211
263	3	11	120	900	211
264	5	11	120	900	211
265	3	11	120	3000	211
266	3	11	120	60	226
267	2	8	120	60	226
268	4	8	120	60	226
269	3	11	120	60	226
270	3	9	120	900	226
271	0	6	120	900	226
272	3	11	120	60	226
273	3	9	120	2400	226
274	0	10	120	900	226
275	5	9	120	60	226
276	4	10	120	2400	226
277	3	11	120	900	226
278	3	11	120	60	231
279	3	9	120	2400	231
280	5	9	120	3000	231
281	5	11	120	60	231
282	5	11	120	3000	231
283	5	9	120	60	231
284	0	6	120	900	231
285	3	11	120	900	231
286	0	10	120	60	231
287	3	11	120	900	231
288	3	9	120	60	231
289	0	8	120	900	231
290	3	9	120	2400	231
