ID	s	d	TTL	size	genT
0	5	11	120	2400	0
1	5	9	120	60	0
2	5	11	120	3000	0
3	3	11	120	60	0
4	5	11	120	60	0
5	5	11	120	900	0
6	5	9	120	900	0
7	3	9	120	60	0
8	5	11	120	60	0
9	5	9	120	60	0
10	5	11	120	900	0
11	3	9	120	60	0
12	3	9	120	900	0
13	3	9	120	900	14
14	4	10	120	900	14
15	3	11	120	900	14
16	4	8	120	60	14
17	0	6	120	900	14
18	2	8	120	60	14
19	2	10	120	60	14
20	2	10	120	2400	14
21	2	8	120	900	14
22	2	8	120	900	14
23	0	6	120	900	14
24	1	7	120	60	14
25	5	9	120	900	21
26	5	11	120	60	21
27	2	10	120	900	21
28	1	7	120	60	21
29	0	6	120	900	21
30	3	9	120	900	21
31	3	11	120	2400	21
32	2	8	120	900	21
33	2	8	120	60	21
34	3	11	120	900	21
35	3	11	120	900	21
36	2	10	120	60	21
37	5	9	120	900	21
38	2	10	120	900	35
39	0	6	120	60	35
40	5	11	120	900	35
41	0	6	120	60	35
42	0	6	120	900	35
43	4	10	120	900	35
44	3	9	120	60	35
45	5	11	120	60	35
46	4	10	120	900	35
47	3	9	120	900	35
48	1	7	120	900	35
49	3	9	120	900	35
50	1	7	120	60	35
51	2	8	120	60	35
52	5	11	120	900	35
53	4	8	120	60	40
54	1	7	120	900	40
55	5	11	120	60	40
56	2	10	120	60	40
57	4	8	120	900	40
58	0	6	120	3000	40
59	3	11	120	900	40
60	4	8	120	900	40
61	3	9	120	900	40
62	5	9	120	60	40
63	2	10	120	900	55
64	5	11	120	60	55
65	3	9	120	900	55
66	1	7	120	60	55
67	5	9	120	900	55
68	5	11	120	3000	55
69	3	11	120	900	55
70	3	9	120	3000	55
71	1	7	120	60	55
72	3	9	120	60	55
73	5	11	120	3000	55
74	5	9	120	900	55
75	4	10	120	60	55
76	1	7	120	60	55
77	4	8	120	60	55
78	3	9	120	3000	69
79	3	9	120	60	69
80	3	11	120	60	69
81	5	11	120	900	69
82	3	9	120	900	69
83	5	11	120	900	69
84	5	7	120	3000	69
85	2	10	120	60	69
86	3	11	120	60	69
87	3	9	120	900	69
88	2	8	120	60	78
89	2	10	120	60	78
90	0	6	120	2400	78
91	0	6	120	900	78
92	5	11	120	900	78
93	5	9	120	60	78
94	5	9	120	2400	78
95	2	8	120	900	78
96	4	8	120	900	78
97	2	10	120	3000	78
98	2	10	120	2400	93
99	0	6	120	2400	93
100	1	7	120	60	93
101	3	11	120	2400	93
102	3	9	120	900	93
103	0	6	120	60	93
104	3	9	120	60	93
105	1	7	120	900	93
106	5	9	120	900	93
107	5	9	120	60	93
108	3	9	120	3000	93
109	2	10	120	2400	93
110	0	6	120	900	93
111	2	10	120	60	93
112	5	11	120	60	93
113	4	8	120	2400	103
114	1	7	120	60	103
115	5	9	120	60	103
116	5	9	120	900	103
117	5	9	120	3000	103
118	3	11	120	900	103
119	3	9	120	60	103
120	4	8	120	60	103
121	2	8	120	900	103
122	3	9	120	900	103
123	0	6	120	900	103
124	4	10	120	2400	103
125	2	10	120	900	103
126	4	10	120	60	117
127	5	11	120	60	117
128	5	9	120	60	117
129	0	6	120	60	117
130	3	11	120	60	117
131	5	9	120	900	117
132	3	11	120	3000	117
133	5	11	120	60	117
134	2	10	120	3000	117
