ID	s	d	TTL	size	genT
0	3	9	120	60	0
1	0	6	120	60	0
2	3	9	120	900	0
3	4	10	120	3000	0
4	0	6	120	900	0
5	4	8	120	2400	0
6	0	6	120	60	0
7	0	6	120	60	0
8	2	10	120	3000	0
9	2	8	120	900	0
10	0	6	120	60	0
11	3	9	120	60	0
12	4	10	120	900	0
13	5	11	120	60	0
14	2	8	120	2400	11
15	3	9	120	60	11
16	5	9	120	60	11
17	3	9	120	900	11
18	2	10	120	900	11
19	4	8	120	60	11
20	5	11	120	60	11
21	5	9	120	900	11
22	2	10	120	900	11
23	4	10	120	2400	11
24	3	11	120	60	11
25	3	9	120	60	11
26	0	6	120	900	11
27	2	10	120	2400	11
28	5	9	120	900	20
29	2	8	120	900	20
30	3	9	120	60	20
31	3	9	120	60	20
32	2	10	120	60	20
33	0	6	120	900	20
34	4	10	120	60	20
35	5	9	120	3000	20
36	4	8	120	60	20
37	5	11	120	3000	20
38	0	8	120	60	20
39	3	9	120	900	20
40	4	10	120	2400	20
41	2	10	120	60	20
42	0	6	120	60	26
43	3	11	120	60	26
44	3	9	120	60	26
45	4	10	120	900	26
46	1	7	120	900	26
47	2	8	120	3000	26
48	3	9	120	900	26
49	4	10	120	900	26
50	0	6	120	2400	26
51	2	10	120	900	26
52	0	6	120	900	26
53	1	7	120	3000	31
54	5	11	120	60	31
55	5	11	120	900	31
56	2	8	120	60	31
57	2	8	120	60	31
58	5	9	120	2400	31
59	3	9	120	900	31
60	0	6	120	900	31
61	4	10	120	900	31
62	5	9	120	60	31
63	0	6	120	900	42
64	2	8	120	900	42
65	3	9	120	3000	42
66	2	10	120	60	42
67	3	11	120	60	42
68	3	11	120	3000	42
69	4	8	120	900	42
70	3	11	120	900	42
71	3	11	120	60	42
72	5	9	120	60	42
73	3	9	120	900	42
74	4	10	120	60	42
75	4	10	120	2400	42
76	3	9	120	900	42
77	4	10	120	2400	52
78	2	10	120	900	52
79	1	7	120	900	52
80	1	7	120	900	52
81	2	8	120	900	52
82	5	11	120	900	52
83	0	6	120	900	52
84	1	7	120	2400	52
85	3	9	120	900	52
86	0	6	120	60	52
87	4	8	120	3000	52
88	5	11	120	2400	52
89	1	7	120	3000	52
90	3	11	120	900	61
91	4	8	120	60	61
92	5	7	120	900	61
93	2	10	120	60	61
94	3	9	120	900	61
95	4	10	120	60	61
96	4	8	120	60	61
97	5	7	120	900	61
98	1	7	120	3000	61
99	0	6	120	60	61
100	4	8	120	2400	61
101	3	9	120	3000	73
102	2	10	120	60	73
103	5	11	120	60	73
104	5	11	120	900	73
105	4	8	120	60	73
106	5	11	120	900	73
107	3	11	120	900	73
108	3	11	120	900	73
109	4	10	120	900	73
110	3	11	120	3000	73
111	4	10	120	60	73
112	5	9	120	2400	73
113	0	6	120	900	83
114	4	8	120	60	83
115	4	8	120	3000	83
116	3	9	120	60	83
117	3	9	120	900	83
118	3	9	120	2400	83
119	4	8	120	60	83
120	5	9	120	2400	83
121	5	11	120	60	83
122	3	11	120	2400	83
123	3	9	120	60	83
124	4	10	120	900	98
125	5	11	120	900	98
126	2	10	120	60	98
127	3	11	120	3000	98
128	4	8	120	2400	98
129	3	11	120	3000	98
130	2	10	120	900	98
131	3	11	120	900	98
132	5	9	120	2400	98
133	0	6	120	60	98
134	5	9	120	900	98
135	5	9	120	3000	98
136	4	10	120	900	98
137	0	6	120	60	98
138	3	11	120	900	113
139	1	7	120	2400	113
140	3	11	120	900	113
141	1	7	120	3000	113
142	4	10	120	60	113
143	5	11	120	60	113
144	3	9	120	60	113
145	4	10	120	3000	113
146	3	11	120	900	113
147	3	9	120	60	113
148	3	11	120	900	113
149	5	11	120	60	126
150	4	8	120	60	126
151	5	9	120	60	126
152	3	11	120	60	126
153	1	7	120	60	126
154	1	7	120	900	126
155	4	10	120	60	126
156	4	8	120	900	126
157	2	10	120	900	126
158	3	11	120	900	126
159	1	7	120	60	126
160	5	9	120	60	132
161	2	8	120	2400	132
162	5	9	120	60	132
163	1	7	120	60	132
164	3	9	120	60	132
165	2	8	120	900	132
166	3	9	120	3000	132
167	3	7	120	60	132
168	3	7	120	900	132
169	2	10	120	3000	132
170	3	11	120	60	132
171	5	9	120	60	132
172	2	10	120	900	132
173	3	7	120	900	132
174	5	11	120	900	143
175	5	11	120	60	143
176	4	10	120	3000	143
177	0	6	120	900	143
178	5	9	120	900	143
179	5	9	120	900	143
180	0	6	120	900	143
181	5	11	120	60	143
182	5	9	120	900	143
183	0	6	120	3000	143
184	5	9	120	900	143
185	3	9	120	900	143
186	5	11	120	900	143
187	5	9	120	900	143
188	5	9	120	900	143
189	3	9	120	60	152
190	0	6	120	60	152
191	3	11	120	60	152
192	3	11	120	60	152
193	3	9	120	900	152
194	5	11	120	900	152
195	5	9	120	60	152
196	0	8	120	60	152
197	5	11	120	900	152
198	3	9	120	900	152
199	5	11	120	900	152
200	5	9	120	60	152
201	5	11	120	3000	152
202	0	6	120	60	163
203	3	11	120	60	163
204	0	6	120	900	163
205	1	7	120	900	163
206	5	11	120	900	163
207	5	9	120	900	163
208	0	6	120	3000	163
209	0	6	120	60	163
210	3	9	120	900	163
211	3	11	120	60	163
212	3	9	120	60	163
213	5	9	120	900	172
214	3	11	120	60	172
215	5	11	120	60	172
216	3	11	120	3000	172
217	4	8	120	60	172
218	2	10	120	60	172
219	2	8	120	900	172
220	5	9	120	60	172
221	0	6	120	900	172
222	2	8	120	900	172
223	5	11	120	900	172
224	3	9	120	60	172
225	5	9	120	3000	172
226	2	10	120	60	172
227	4	8	120	900	180
228	3	11	120	900	180
229	0	6	120	60	180
230	0	6	120	900	180
231	5	11	120	3000	180
232	5	11	120	60	180
233	2	8	120	60	180
234	3	11	120	900	180
235	4	8	120	60	180
236	3	11	120	900	180
237	3	9	120	60	180
238	2	10	120	900	180
239	3	9	120	900	180
240	3	11	120	900	180
241	0	6	120	3000	180
242	1	7	120	900	195
243	5	11	120	60	195
244	2	10	120	3000	195
245	5	9	120	900	195
246	3	11	120	2400	195
247	4	8	120	60	195
248	3	11	120	900	195
249	4	10	120	900	195
250	2	6	120	900	195
251	1	7	120	900	195
252	4	10	120	900	195
253	1	7	120	3000	195
254	2	8	120	900	206
255	5	11	120	60	206
256	2	8	120	900	206
257	3	7	120	900	206
258	5	7	120	900	206
259	1	7	120	900	206
260	4	8	120	900	206
261	3	9	120	60	206
262	3	9	120	900	206
263	2	10	120	60	206
264	1	7	120	3000	206
265	2	10	120	60	206
266	4	10	120	900	220
267	4	10	120	900	220
268	2	8	120	60	220
269	2	10	120	60	220
270	4	10	120	60	220
271	5	9	120	3000	220
272	4	8	120	2400	220
273	4	8	120	900	220
274	0	6	120	900	220
275	3	9	120	60	220
276	0	6	120	2400	220
277	4	10	120	60	228
278	0	10	120	900	228
279	2	8	120	60	228
280	3	11	120	60	228
281	5	9	120	900	228
282	5	11	120	60	228
283	5	11	120	900	228
284	3	9	120	60	228
285	0	10	120	900	228
286	3	11	120	900	228
287	5	9	120	60	228
288	3	9	120	900	228
