ID	s	d	TTL	size	genT
0	5	9	120	900	0
1	5	9	120	900	0
2	3	9	120	60	0
3	4	8	120	900	0
4	4	8	120	900	0
5	5	9	120	60	0
6	3	11	120	60	0
7	0	6	120	3000	0
8	4	8	120	900	0
9	3	9	120	900	0
10	3	11	120	900	0
11	4	8	120	60	15
12	3	9	120	60	15
13	2	10	120	900	15
14	4	8	120	900	15
15	2	8	120	900	15
16	5	9	120	60	15
17	5	9	120	900	15
18	5	9	120	900	15
19	4	8	120	3000	15
20	5	9	120	900	15
21	4	10	120	3000	15
22	5	9	120	3000	15
23	5	9	120	60	15
24	3	9	120	2400	15
25	4	8	120	2400	21
26	2	10	120	900	21
27	2	10	120	3000	21
28	4	8	120	900	21
29	4	10	120	900	21
30	5	9	120	900	21
31	4	6	120	2400	21
32	0	6	120	900	21
33	3	11	120	900	21
34	5	9	120	900	21
35	0	10	120	900	21
36	3	9	120	60	21
37	1	7	120	60	21
38	3	9	120	60	21
39	3	9	120	60	36
40	2	10	120	60	36
41	3	9	120	60	36
42	5	11	120	2400	36
43	3	11	120	2400	36
44	4	8	120	900	36
45	3	11	120	900	36
46	1	7	120	60	36
47	4	8	120	900	36
48	5	11	120	2400	36
49	2	10	120	900	36
50	2	10	120	900	36
51	1	7	120	3000	36
52	4	8	120	900	36
53	1	7	120	900	36
54	2	10	120	60	48
55	3	11	120	900	48
56	5	11	120	60	48
57	5	11	120	60	48
58	3	9	120	3000	48
59	3	11	120	900	48
60	5	11	120	60	48
61	1	7	120	2400	48
62	1	7	120	60	48
63	4	10	120	2400	48
64	3	9	120	60	48
65	3	9	120	60	56
66	1	7	120	2400	56
67	2	8	120	60	56
68	1	7	120	60	56
69	4	10	120	60	56
70	2	10	120	60	56
71	1	7	120	900	56
72	4	8	120	60	56
73	3	9	120	900	56
74	2	8	120	900	56
75	3	9	120	900	56
76	3	11	120	60	56
77	1	7	120	900	56
78	5	9	120	60	56
79	3	11	120	60	70
80	5	9	120	3000	70
81	5	11	120	3000	70
82	5	9	120	60	70
83	5	11	120	60	70
84	0	6	120	60	70
85	5	9	120	2400	70
86	2	10	120	60	70
87	3	11	120	900	70
88	5	11	120	3000	70
89	5	9	120	60	70
90	3	9	120	3000	70
91	3	9	120	60	70
92	3	11	120	2400	70
93	0	6	120	60	85
94	5	9	120	3000	85
95	2	8	120	60	85
96	3	9	120	60	85
97	2	8	120	60	85
98	3	9	120	900	85
99	2	8	120	900	85
100	2	10	120	60	85
101	0	6	120	900	85
102	5	9	120	900	85
103	0	6	120	60	85
104	3	9	120	60	85
105	5	11	120	900	85
106	5	9	120	60	90
107	4	8	120	60	90
108	5	11	120	900	90
109	5	9	120	60	90
110	3	11	120	60	90
111	3	11	120	900	90
112	2	8	120	900	90
113	5	11	120	900	90
114	2	10	120	2400	90
115	0	6	120	2400	90
116	5	11	120	900	90
117	0	6	120	60	90
118	3	11	120	900	90
119	4	10	120	3000	90
120	0	6	120	900	103
121	4	8	120	2400	103
122	2	8	120	60	103
123	0	6	120	60	103
124	5	9	120	60	103
125	5	11	120	900	103
126	5	9	120	2400	103
127	0	6	120	2400	103
128	0	6	120	3000	103
129	2	10	120	60	103
130	0	6	120	60	103
131	4	8	120	900	103
132	3	11	120	60	118
133	2	10	120	3000	118
134	5	9	120	900	118
135	2	10	120	900	118
136	5	11	120	900	118
137	2	10	120	900	118
138	3	11	120	900	118
139	5	9	120	60	118
140	3	11	120	900	118
141	2	10	120	60	118
142	3	11	120	900	118
143	2	8	120	900	118
144	4	8	120	900	125
145	1	7	120	60	125
146	2	10	120	60	125
147	2	10	120	60	125
148	5	9	120	900	125
149	2	10	120	900	125
150	3	11	120	900	125
151	5	11	120	900	125
152	5	11	120	60	125
153	3	9	120	60	125
154	3	9	120	60	125
155	5	11	120	900	125
156	5	7	120	60	138
157	3	11	120	60	138
158	4	8	120	900	138
159	3	7	120	900	138
160	4	8	120	3000	138
161	3	11	120	60	138
162	5	9	120	2400	138
163	2	10	120	900	138
164	5	11	120	60	138
165	5	11	120	3000	138
166	2	8	120	60	138
167	4	10	120	900	138
168	2	8	120	2400	138
169	3	7	120	60	138
170	3	11	120	900	147
171	2	10	120	60	147
172	2	10	120	2400	147
173	4	10	120	60	147
174	5	11	120	60	147
175	0	6	120	3000	147
176	5	9	120	2400	147
177	3	9	120	900	147
178	3	11	120	3000	147
179	5	11	120	3000	147
180	5	9	120	2400	147
181	5	9	120	900	162
182	5	11	120	900	162
183	5	11	120	900	162
184	5	9	120	60	162
185	5	11	120	900	162
186	4	8	120	900	162
187	1	7	120	60	162
188	0	6	120	900	162
189	0	6	120	60	162
190	3	11	120	60	162
191	3	9	120	60	162
192	5	9	120	900	162
193	4	10	120	2400	170
