T	Packet per tau	Transmissions per tau
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	8	1
27	10	2
28	10	2
29	10	2
30	10	2
31	10	2
32	10	2
33	10	2
34	10	2
35	10	2
36	10	2
37	10	2
38	10	2
39	10	2
40	10	2
41	10	2
42	10	2
43	10	2
44	10	2
45	10	2
46	10	2
47	10	2
48	10	2
49	10	2
50	10	2
51	10	2
52	10	2
53	10	2
54	10	2
55	10	2
56	10	2
57	10	2
58	10	2
59	10	2
60	10	2
61	10	2
62	10	2
63	10	2
64	10	2
65	10	2
66	10	2
67	10	2
68	10	2
69	10	2
70	10	2
71	10	2
72	10	2
73	10	2
74	10	2
75	10	2
76	10	2
77	10	2
78	10	2
79	10	2
80	10	2
81	10	2
82	10	2
83	10	2
84	10	2
85	10	2
86	10	2
87	10	2
88	10	2
89	10	2
90	10	2
91	10	2
92	10	2
93	10	2
94	10	2
95	10	2
96	10	2
97	10	2
98	10	2
99	10	2
100	10	2
101	10	2
102	10	2
103	10	2
104	10	2
105	10	2
106	10	2
107	10	2
108	10	2
109	10	2
110	10	2
111	10	2
112	10	2
113	10	2
114	10	2
115	10	2
116	10	2
117	10	2
118	10	2
119	10	2
120	10	2
121	10	2
122	10	2
123	10	2
124	10	2
125	10	2
126	10	2
127	10	2
128	10	2
129	10	2
130	10	2
131	10	2
132	10	2
133	10	2
134	10	2
135	10	2
136	10	2
137	10	2
138	10	2
139	10	2
140	10	2
141	10	2
142	10	2
143	10	2
144	10	2
145	10	2
146	10	2
147	10	2
148	10	2
149	10	2
150	10	2
151	10	2
152	10	2
153	10	2
154	10	2
155	10	2
156	10	2
157	10	2
158	10	2
159	10	2
160	10	2
161	10	2
162	10	2
163	10	2
164	10	2
165	10	2
166	10	2
167	10	2
168	10	2
169	10	2
170	10	2
171	10	2
172	10	2
173	10	2
174	10	2
175	10	2
176	10	2
177	10	2
178	10	2
179	10	2
180	10	2
181	10	2
182	10	2
183	10	2
184	10	2
185	10	2
186	10	2
187	10	2
188	10	2
189	10	2
190	10	2
191	10	2
192	10	2
193	10	2
194	10	2
195	10	2
196	10	2
197	10	2
198	10	2
199	10	2
200	10	2
201	10	2
202	10	2
203	10	2
204	10	2
205	10	2
206	10	2
207	10	2
208	10	2
209	10	2
210	10	2
211	10	2
212	10	2
213	10	2
214	10	2
215	10	2
216	10	2
217	10	2
218	10	2
219	10	2
220	10	2
221	10	2
222	10	2
223	10	2
224	10	2
225	10	2
226	10	2
227	10	2
228	10	2
229	10	2
230	10	2
231	10	2
232	10	2
233	10	2
234	10	2
235	10	2
236	10	2
237	10	2
238	10	2
239	10	2
